State,a (10^-3),b,fit rank,r^2
AK,2.593040372,-75.36647616,1,0.9969060096
AL,12.12159265,-111.2222421,2,0.9974303360
AR,2.941186246,-75.35678452,4,0.9975862209
AS,NaN,NaN,NaN,NaN
AZ,4.984062507,-90.2950188,1,0.9986133781
CA,5.90386646,-92.61880873,1,0.9977989158
CO,11.30138343,-86.33183351,1,0.9974705907
CT,8.864121227,-126.5850619,1,0.9978578857
DC,4.860329545,-113.0971723,2,0.9977203410
DE,5.73366667,-140.4936013,3,0.9924135337
FL,12.00266771,-99.60354617,1,0.9967011023
GA,17.9055772,-105.2111918,1,0.9971542150
GU,NaN,NaN,NaN,NaN
HI,2.62354081,-78.19850597,2,0.9954459306
IA,7.723555654,-106.3943018,2,0.9992724331
ID,10.23646561,-96.97488444,3,0.9727284357
IL,26.00868806,-108.0418823,1,0.9996597682
IN,20.92321953,-111.8163235,1,0.9980771211
KS,6.006627417,-100.6747294,2,0.9981177251
KY,7.904049499,-116.1109524,2,0.9926995275
LA,6.769156438,-104.2580722,3,0.9871764753
MA,7.221059624,-117.1076756,2,0.9987446107
MD,5.163742337,-141.7681659,2,0.9979786126
ME,2.679044441,-66.30439216,1,0.9966324197
MI,15.16621563,-69.72262563,1,0.9878138306
MN,1.952591502,-77.62203601,4,0.9954181774
MO,9.635502452,-102.2183605,1,0.9966404500
MP,NaN,NaN,NaN,NaN
MS,9.915486959,-92.48174709,2,0.9990057255
MT,2.445225968,-72.75578418,1,0.9919122443
NC,5.535399666,-99.34943844,1,0.9995543380
ND,3.398247767,-82.00819431,1,0.9979054834
NE,10.49704976,-128.2238799,4,0.9962608395
NH,7.169179709,-90.52320813,1,0.9951956631
NJ,97.66362045,-102.3226627,1,0.9974385384
NM,14.09884189,-126.0257638,3,0.9941733174
NV,8.778791489,-87.01588109,1,0.9968917230
NY,77.69523341,-81.00323112,1,0.9995579972
OH,6.578330833,-95.20437528,1,0.9989267940
OK,6.72962705,-100.319978,1,0.9953421264
OR,2.305117781,-72.30100435,2,0.9962004608
PA,5.059996697,-129.7863622,1,0.9984545852
PR,5.376393295,-116.2882166,1,0.9964463269
RI,190.5532181,-169.9064831,5,0.9932679385
SC,7.686474458,-96.25542214,1,0.9955305833
SD,95.80671333,-185.9865762,4,0.9902106216
TN,6.271688441,-80.32574121,1,0.9974177560
TX,9.769517278,-119.3100999,1,0.9987521469
UT,6.01685524,-82.2962939,1,0.9977028069
VA,15.49470736,-125.2469261,2,0.9990483403
VI,NaN,NaN,NaN,NaN
VT,9.402995322,-80.37963727,1,0.9968467822
WA,4.919571008,-49.10485806,4,0.9928699763
WI,4.120203245,-76.39951654,1,0.9989076470
WV,7.058395462,-117.5213339,1,0.9962661922
WY,3.621362558,-77.76052611,3,0.9813413164
