State,c (10^-4),d,fit rank,r^2
AK,1.331139313,-95.88259587,2,0.9750099187
AL,8.124936618,-145.0965362,1,0.9868265958
AR,1.444874398,-108.7089906,3,0.9915046474
AS,NaN,NaN,NaN,NaN
AZ,4.374537966,-129.2043818,1,0.9971291225
CA,3.671046758,-122.4736155,3,0.9966199345
CO,17.59577099,-140.4802914,2,0.9964300016
CT,190.2208938,-187.8923444,1,0.9962051280
DC,34.07725782,-152.6031276,2,0.9892555104
DE,9.994887232,-133.9951373,2,0.9684450097
FL,8.064747696,-140.9613439,2,0.9958323359
GA,8.445751913,-116.1952725,1,0.9897683284
GU,NaN,NaN,NaN,NaN
HI,6.576686751,-184.106967,1,0.9749895676
IA,4.825537578,-141.9973916,1,0.9884193872
ID,4.888247775,-137.7162349,2,0.9743399074
IL,43.47780304,-168.5185329,1,0.9982377535
IN,34.04395858,-164.1798348,2,0.9928744970
KS,1.377115534,-165.9014638,3,0.9864276190
KY,10.94449444,-152.9762617,1,0.9881239252
LA,32.73810624,-111.990842,1,0.9978104447
MA,154.3885624,-192.8832953,2,0.9972892599
MD,95.10821733,-215.1152958,1,0.9986320424
ME,3.379075835,-122.8888095,3,0.9825838450
MI,76.37238727,-153.1852899,1,0.9982068012
MN,6.0361921,-153.1306795,1,0.9940272176
MO,24.32067156,-191.3811381,3,0.9824798451
MP,NaN,NaN,NaN,NaN
MS,11.72600934,-139.8573555,1,0.9949293102
MT,0.516899215,-79.07657306,5,0.8895206110
NC,7.870351547,-178.6002735,2,0.9878824142
ND,2.680213979,-130.1981112,3,0.9597613486
NE,3.81945831,-146.2874045,2,0.9876264230
NH,13.42544324,-170.1523144,1,0.9737068638
NJ,193.9988435,-167.6313607,1,0.9958795785
NM,4.840470007,-149.2884551,1,0.9883573132
NV,12.90084251,-140.9161078,2,0.9916846300
NY,231.2167005,-150.5979534,1,0.9987053145
OH,7.421743297,-136.0067463,1,0.9949646210
OK,5.996515162,-123.5927046,1,0.9915074026
OR,1.220075827,-91.65221719,6,0.9857788991
PA,54.2239765,-192.0383164,2,0.9898417144
PR,5.783511791,-146.1563506,1,0.9911715765
RI,87.23552003,-193.9105579,1,0.9973824589
SC,2.937653431,-113.7610182,1,0.9949749668
SD,1.297715037,-112.1387779,3,0.8916031452
TN,5.64909432,-138.7768824,3,0.9835197100
TX,3.92015631,-145.726867,1,0.9979450571
UT,1.125926321,-116.3136585,1,0.9819519845
VA,7.599247693,-150.3235162,4,0.9830082060
VI,NaN,NaN,NaN,NaN
VT,2.077370178,-60.30564913,3,0.9847467930
WA,2.157372193,-47.94526153,15,0.9783322000
WI,13.17684972,-153.8059691,1,0.9907480485
WV,4.406762608,-182.306916,1,0.9708081916
WY,NaN,NaN,NaN,NaN
